node_id,land_type,area_m2
9,commercial,1752.8516571972013
9,residential,4657.7444712959405
9,residential,5257.327701056453
9,commercial,7022.803815135168
9,commercial,4825.603738004883
8,commercial,5881.498597364634
9,residential,12714.674742150344
8,park,802.8905432728506
8,park,311.6366030768171
8,park,373.4648250100201
8,park,702.6156881580969
8,park,1080.1365801701656
121,water,40146.44314532629
103,residential,9150.840727558274
8,commercial,47750.89264941173
95,water,6729.403849592258
4,park,8614.746327219855
46,park,1780.1050061350725
65,water,1919.9904434082137
65,water,15395.85989601554
66,water,1443.1666090205822
68,park,582.0615531725474
88,park,7219.492167623255
68,park,7101.581976974035
87,park,638.9224270425498
88,park,376.3449055922488
68,park,418.9884731924917
87,park,453.61168295019297
88,park,807.6719253354673
88,park,4304.841600483198
86,park,7655.829922318659
6,park,360.8964624322536
6,park,592.97888520057
88,park,126.30884393565408
88,park,574.0969008536209
88,park,264.4868490536807
75,industrial,32280.440875627683
4,park,430.9493979037644
4,park,402.6169805824193
152,park,5085.84582851368
48,park,2142.2283338576017
48,park,565.7123343083193
48,park,2227.286832536057
1,park,3720.6756460714614
74,park,3440.604261544143
2,park,929.1561318910092
1,park,870.2551055469855
1,park,167.3930890162724
1,park,457.0759703687585
1,park,1349.8400912601849
74,park,487.6459937940301
1,park,317.6752344429381
2,park,1953.1635565097736
1,park,279.59543072127207
74,park,335.4920536527174
74,park,1894.689699172555
2,park,1537.923414051935
1,park,4126.716884414092
201,park,16593.88079591575
1,park,6224.754736303246
1,park,1471.163285461625
1,park,3731.3772188262556
1,park,844.1823765903192
1,park,3773.513258451967
1,park,2172.667248017853
5,park,15183.604889127493
4,park,1012.585721411638
4,park,1366.8039632460209
4,park,1504.0328892280015
4,park,402.8133407430447
4,park,1502.9542318275992
5,park,2267.1324853230235
5,park,2219.952919193894
4,park,3867.509133535953
5,park,2875.592634883093
4,park,402.53905368844664
5,park,921.8070056646117
4,park,686.1830480375158
5,park,2800.1679741103108
4,park,674.3918371075029
5,park,2873.2827238912378
5,park,5514.817281556085
4,park,402.61616193165565
4,park,674.393140813517
4,park,674.3935234570026
4,park,402.8123552755618
4,park,402.81271801276307
4,park,684.6633132808636
99,park,1667.6666216199878
4,park,402.76672955735586
4,park,402.6420035664972
5,park,2057.14186074557
243,park,1945.7019245390122
243,park,3551.3258838850875
1,park,1613.2693119082237
9,park,760.5096092661856
9,park,1082.3995480109654
1,park,763.6310494363065
1,park,649.8586448381752
